New Order,,
customerNumber,OD10443,
PO,OD9864490,
4020951,,3
4006781,,3
4004141,,6
4004851,,6
4005271,,6
4011321,,3
4004211,,6
4004261,,3
4006131,,3
4007791,,3
4015390,,6
4015460,,3
4016431,,6
4016781,,3
4015610,,3
4017350,,12
4017420,,6
